Id,Label,Name,Weighted Degree,City,Country,Lagtitude,Longitude,In-Degree,Out-Degree,Degree,Weighted In-Degree,Weighted Out-Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Modularity Class,Eigenvector Centrality,Clustering Coefficient
2650,DLZ,Dalanzadgad Airport,1,Dalanzadgad Mongolia,,43.5917,104.43,1,0,1,1,0,0,0,0,9,8.12E-04,0
2792,PTH,Port Heiden Airport,1,Port Heiden United States,,56.9591,-158.633,0,1,1,0,1,10,5.305357696,0,18,0,0
2936,WWP,North Whale Seaplane Base,1,North Whale Pass United States,,56.116389,-133.121667,1,0,1,1,0,0,0,0,18,1.51E-04,0
2939,KCL,Chignik Lagoon Airport,1,Chignik Lagoon United States,,56.311111,-158.534167,0,1,1,0,1,12,7.30176416,0,18,0,0
2941,PIP,Pilot Point Airport,1,Pilot Point United States,,57.585393,-157.571944,1,0,1,1,0,0,0,0,18,1.99E-04,0
2944,KYK,Karuluk Airport,1,Karluk United States,,57.566944,-154.450278,1,0,1,1,0,0,0,0,18,1.49E-04,0
2951,KPR,Port Williams Seaplane Base,1,Port Williams United States,,58.49,-152.582222,1,0,1,1,0,0,0,0,18,1.48E-04,0
2953,KZB,Zachar Bay Seaplane Base,1,Zachar Bay United States,,57.55,-153.75,1,0,1,1,0,0,0,0,18,1.49E-04,0
3033,CMP,Campo Alegre Airport,1,Santana do Araguaia Brazil,,-9.505,-50.625,1,0,1,1,0,0,0,0,8,1.48E-04,0
3035,BVS,Breves Airport,1,Breves Brazil,,-1.681944,-50.48,1,0,1,1,0,0,0,0,8,4.96E-04,0
3038,STZ,Confresa Airport,1,Santa Terezinha Brazil,,-10.47,-50.502778,0,1,1,0,1,12,7.247215347,0,8,0,0
3107,PVE,El Porvenir,1,El Porvenir Panama,,9.559167,-78.971111,1,0,1,1,0,0,0,0,8,2.01E-04,0
3138,MPP,Mulatupo Airport,1,Mulatupo Panama,,8.95,-77.75,0,1,1,0,1,10,6.096314648,0,8,0,0
3150,SXX,Sao Felix do Xingu Airport,1,Sao Felix do Xingu Brazil,,-6.641389,-51.952222,0,1,1,0,1,11,6.508826262,0,8,0,0
